frame_index,frame_number,knee_angle_deg,angle_status,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y
0,1,177.1218,computed,0.33334875106811523,0.48194244503974915,0.3330819010734558,0.6510447263717651,0.3418407142162323,0.8309149742126465
1,2,176.916,computed,0.33475157618522644,0.4842148423194885,0.33314937353134155,0.6526730060577393,0.34111136198043823,0.8322198390960693
2,3,177.2316,computed,0.3359982669353485,0.48470914363861084,0.3330942690372467,0.655572772026062,0.3386790156364441,0.8338051438331604
3,4,174.0786,computed,0.3395916521549225,0.48356956243515015,0.32984602451324463,0.6546157002449036,0.3381333351135254,0.8329691886901855
4,5,171.7018,computed,0.3410470485687256,0.4817645251750946,0.32681983709335327,0.6504703164100647,0.3377723693847656,0.8306922316551208
5,6,171.6123,computed,0.34098801016807556,0.4861847162246704,0.3262661397457123,0.6539872884750366,0.3367501497268677,0.8318291902542114
6,7,167.8562,computed,0.3411827087402344,0.49539312720298767,0.3214831054210663,0.6551743149757385,0.33730220794677734,0.831893265247345
7,8,165.5061,computed,0.34192854166030884,0.4931167662143707,0.31829577684402466,0.6517676115036011,0.3373027443885803,0.8319608569145203
8,9,166.0317,computed,0.34006646275520325,0.5008782148361206,0.31848689913749695,0.6538035869598389,0.3371027410030365,0.8328391313552856
9,10,162.7775,computed,0.34056976437568665,0.5059552788734436,0.3145468235015869,0.6587821841239929,0.33756694197654724,0.8322570323944092
10,11,160.3408,computed,0.3448902368545532,0.5118151307106018,0.3143253028392792,0.6635982990264893,0.33855265378952026,0.8302066326141357
11,12,155.6902,computed,0.34646543860435486,0.5179517269134521,0.3078700304031372,0.6618350744247437,0.33566489815711975,0.8316766023635864
12,13,154.9662,computed,0.347124308347702,0.5269227623939514,0.30751675367355347,0.6693146824836731,0.33488279581069946,0.8330340385437012
13,14,146.9996,computed,0.3451230525970459,0.5354681611061096,0.2964634895324707,0.6676520109176636,0.33396294713020325,0.8328301310539246
14,15,145.328,computed,0.34518781304359436,0.5432766675949097,0.2955074906349182,0.6694861650466919,0.33382949233055115,0.8330562710762024
15,16,144.276,computed,0.34594953060150146,0.5454062819480896,0.295234739780426,0.6672608256340027,0.3340674340724945,0.8337745070457458
16,17,142.9329,computed,0.34360164403915405,0.5545055270195007,0.2940842807292938,0.6704037189483643,0.3338509202003479,0.8307024836540222
17,18,143.1875,computed,0.3463342785835266,0.5619568228721619,0.29693660140037537,0.6748335957527161,0.33420225977897644,0.8340021371841431
18,19,145.1194,computed,0.3438958525657654,0.5665643811225891,0.29848700761795044,0.6779001951217651,0.333973228931427,0.8354637622833252
19,20,136.5885,computed,0.3442336916923523,0.5758470892906189,0.29009711742401123,0.6779599189758301,0.3330221176147461,0.8329463005065918
20,21,133.7127,computed,0.34790611267089844,0.5803121328353882,0.28991490602493286,0.6757895946502686,0.33266299962997437,0.8351762890815735
21,22,135.8796,computed,0.3488698899745941,0.5851237177848816,0.29570913314819336,0.6780667304992676,0.3356057107448578,0.8339952230453491
