frame_index,frame_number,knee_angle_deg,angle_status,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y
22,23,126.4214,computed,0.3500542938709259,0.5952017903327942,0.2869177758693695,0.6826080083847046,0.3351660668849945,0.8334558010101318
23,24,121.3396,computed,0.35038378834724426,0.608992874622345,0.28441911935806274,0.6870241165161133,0.3340423107147217,0.8357592225074768
24,25,119.6158,computed,0.35247698426246643,0.6155011653900146,0.2859113812446594,0.6878360509872437,0.33362558484077454,0.8367817401885986
25,26,116.1297,computed,0.354720801115036,0.6205720901489258,0.28646597266197205,0.6841852068901062,0.3323954641819,0.8357915878295898
26,27,112.0609,computed,0.3546593487262726,0.6272565126419067,0.2868044376373291,0.6835503578186035,0.3351801931858063,0.8358758687973022
27,28,110.1563,computed,0.3512062728404999,0.6345147490501404,0.28396737575531006,0.6886451244354248,0.33362528681755066,0.835527241230011
28,29,,chain_incomplete,,,,,,
29,30,,chain_incomplete,,,,,,
30,31,92.8459,computed,0.3523218631744385,0.659033477306366,0.2862289249897003,0.6823191046714783,0.3310832381248474,0.8331418633460999
31,32,,chain_incomplete,,,,,,
32,33,,chain_incomplete,,,,,,
33,34,115.4658,computed,0.3307504653930664,0.6612977981567383,0.28483548760414124,0.7073296904563904,0.33137133717536926,0.8379665017127991
34,35,138.3187,computed,0.31783047318458557,0.6524568796157837,0.29091301560401917,0.7152293920516968,0.3328983783721924,0.8409205675125122
35,36,136.7597,computed,0.31413501501083374,0.6500924229621887,0.2872849404811859,0.7116100788116455,0.3331124782562256,0.8398773670196533
36,37,87.0849,computed,0.3479066491127014,0.683594286441803,0.2841549515724182,0.7037858963012695,0.3343163728713989,0.8380255103111267
37,38,135.3208,computed,0.3120648264884949,0.6541456580162048,0.28487417101860046,0.7188395261764526,0.33365851640701294,0.840302586555481
38,39,,no_pose_detected,,,,,,
39,40,,no_pose_detected,,,,,,
40,41,93.5086,computed,0.3219451308250427,0.6963095664978027,0.27731993794441223,0.7196027636528015,0.3310571610927582,0.8399885892868042
41,42,100.954,computed,0.33406010270118713,0.7030310034751892,0.2795593738555908,0.749281644821167,0.33084017038345337,0.8404214978218079
42,43,115.1799,computed,0.3287239372730255,0.6751388311386108,0.28523725271224976,0.7231364846229553,0.33372583985328674,0.83937668800354
43,44,112.7212,computed,0.32325366139411926,0.6880389451980591,0.2826954126358032,0.732840359210968,0.3332582414150238,0.8406600952148438
44,45,,no_pose_detected,,,,,,
45,46,154.6334,computed,0.3052522540092468,0.6190130114555359,0.2919352948665619,0.7042257785797119,0.3314345180988312,0.8377071619033813
46,47,,chain_incomplete,,,,,,
47,48,,no_pose_detected,,,,,,
48,49,143.2927,computed,0.32017990946769714,0.6275436282157898,0.29129278659820557,0.7114341259002686,0.3320868909358978,0.8392090797424316
49,50,132.4165,computed,0.32804805040359497,0.6414401531219482,0.28992384672164917,0.7108858823776245,0.3335587680339813,0.8389329314231873
50,51,122.7784,computed,0.3368443250656128,0.6509636044502258,0.3010738790035248,0.6867656111717224,0.3328303098678589,0.8330652713775635
51,52,99.8054,computed,0.3449225127696991,0.6590461730957031,0.2957089841365814,0.6805509328842163,0.33366695046424866,0.835106611251831
52,53,97.8282,computed,0.3593454658985138,0.6551794409751892,0.3049594759941101,0.6726137399673462,0.33334144949913025,0.8344691395759583
53,54,81.5058,computed,0.3640280067920685,0.664171576499939,0.2960498034954071,0.6691139936447144,0.3319256007671356,0.8289237022399902
54,55,92.4654,computed,0.36863869428634644,0.6487636566162109,0.2984815239906311,0.6669015288352966,0.3337556719779968,0.8324267268180847
55,56,95.5672,computed,0.365619033575058,0.6498215198516846,0.2979670763015747,0.6715991497039795,0.3326275646686554,0.830880343914032
56,57,108.0952,computed,0.3725011348724365,0.6283947229385376,0.3004469573497772,0.6691511869430542,0.333351194858551,0.8323550820350647
57,58,108.5343,computed,0.37311485409736633,0.622565507888794,0.3003367483615875,0.6649224162101746,0.33495768904685974,0.8326142430305481
58,59,109.4123,computed,0.38175150752067566,0.6184476017951965,0.3037073016166687,0.6639441847801208,0.3358536958694458,0.8320137858390808
59,60,110.832,computed,0.38006311655044556,0.6200904846191406,0.3056596517562866,0.6659640669822693,0.33802706003189087,0.8352556228637695
60,61,114.4336,computed,0.3785221576690674,0.6144396066665649,0.3055402934551239,0.6664303541183472,0.33754870295524597,0.8306154012680054
61,62,114.9428,computed,0.37867188453674316,0.6091387867927551,0.3047335147857666,0.6620814800262451,0.3365820348262787,0.8312608003616333
62,63,117.5995,computed,0.3882504999637604,0.6051047444343567,0.31002557277679443,0.6625036001205444,0.3353883922100067,0.8288233280181885
63,64,120.5125,computed,0.38784366846084595,0.601909339427948,0.31206169724464417,0.6650628447532654,0.33870795369148254,0.8278909921646118
64,65,118.7621,computed,0.39183834195137024,0.5966790914535522,0.31162601709365845,0.6606617569923401,0.34024807810783386,0.8260889053344727
65,66,122.0689,computed,0.38948461413383484,0.5924837589263916,0.3125705420970917,0.6572511792182922,0.33696499466896057,0.8301472663879395
66,67,125.2215,computed,0.38774141669273376,0.5929988026618958,0.31229740381240845,0.6656925082206726,0.33752214908599854,0.8302502632141113
67,68,120.5679,computed,0.39436081051826477,0.5931504368782043,0.3106554448604584,0.661400556564331,0.33636319637298584,0.8308929204940796
68,69,123.2924,computed,0.3850070834159851,0.5928360223770142,0.31048348546028137,0.663105845451355,0.33945828676223755,0.8270142078399658
69,70,124.56,computed,0.38671573996543884,0.5930728912353516,0.3129134774208069,0.6639059782028198,0.33926501870155334,0.8254623413085938
70,71,122.6512,computed,0.3845401704311371,0.5949779152870178,0.31079861521720886,0.6624129414558411,0.33897650241851807,0.8256980180740356
71,72,119.2209,computed,0.38806241750717163,0.5980196595191956,0.31005242466926575,0.6599850058555603,0.3376733958721161,0.8297682404518127
72,73,118.2838,computed,0.381736159324646,0.597017765045166,0.30141180753707886,0.6663034558296204,0.3375053405761719,0.8291593194007874
73,74,122.8577,computed,0.37701183557510376,0.5979968309402466,0.3028329610824585,0.6700642704963684,0.3354801535606384,0.8332228660583496
74,75,122.7017,computed,0.37579256296157837,0.6032291650772095,0.306128591299057,0.6654819250106812,0.3330443501472473,0.8338479399681091
75,76,124.6555,computed,0.37516409158706665,0.59840327501297,0.3041412830352783,0.6693469285964966,0.33405688405036926,0.8337565660476685
76,77,121.2969,computed,0.37090373039245605,0.6004589796066284,0.29890620708465576,0.6678888201713562,0.3336564004421234,0.8338421583175659
77,78,119.945,computed,0.37156668305397034,0.6046111583709717,0.30021268129348755,0.6672192215919495,0.3331736922264099,0.8318796753883362
78,79,122.7404,computed,0.3679935932159424,0.5993918180465698,0.2993473410606384,0.666500985622406,0.333418071269989,0.8323198556900024
79,80,125.2415,computed,0.36502301692962646,0.6010950803756714,0.29772377014160156,0.6761028170585632,0.33395257592201233,0.8348065614700317
80,81,121.5039,computed,0.3700748085975647,0.6024353504180908,0.29656752943992615,0.6734040975570679,0.332197904586792,0.8342616558074951
81,82,141.5536,computed,0.3649492561817169,0.5941339135169983,0.3082587420940399,0.7004089951515198,0.33300265669822693,0.8356328010559082
82,83,139.5215,computed,0.3668370544910431,0.5939248204231262,0.3066100776195526,0.7014554142951965,0.33336055278778076,0.8362380266189575
83,84,128.7786,computed,0.36070653796195984,0.5933212041854858,0.2959139943122864,0.6763437390327454,0.33300960063934326,0.8338560461997986
84,85,121.11,computed,0.36597323417663574,0.5993000864982605,0.2963019609451294,0.6663466095924377,0.33447352051734924,0.8344928026199341
85,86,124.6592,computed,0.363012433052063,0.5925096869468689,0.2927965521812439,0.6705304384231567,0.33140844106674194,0.8331766128540039
86,87,125.0911,computed,0.36208534240722656,0.5916002988815308,0.2920551300048828,0.6746792197227478,0.3335738480091095,0.8320416212081909
87,88,124.1433,computed,0.36324387788772583,0.591585099697113,0.2928495705127716,0.6697371602058411,0.33395278453826904,0.836498498916626
88,89,128.8221,computed,0.3609277904033661,0.5838879346847534,0.2933279871940613,0.6701183915138245,0.33084312081336975,0.8315410614013672
89,90,129.025,computed,0.35969066619873047,0.58254474401474,0.29264503717422485,0.6703341007232666,0.33221161365509033,0.8338126540184021
90,91,128.3477,computed,0.3626699149608612,0.581057071685791,0.29369956254959106,0.6695040464401245,0.33411145210266113,0.8352117538452148
91,92,133.9632,computed,0.3583223223686218,0.5775612592697144,0.29518795013427734,0.6741942167282104,0.33227333426475525,0.8363965153694153
92,93,134.3239,computed,0.3553624451160431,0.5783976316452026,0.29588380455970764,0.669367790222168,0.33230963349342346,0.8336954712867737
93,94,132.2589,computed,0.3584052622318268,0.5765340328216553,0.29425159096717834,0.6687148213386536,0.33173999190330505,0.8323326706886292
94,95,132.0195,computed,0.3546870946884155,0.5769530534744263,0.2915843725204468,0.672501802444458,0.3330789804458618,0.8325033783912659
95,96,134.7317,computed,0.35224059224128723,0.5680655241012573,0.29253607988357544,0.6651654839515686,0.33308839797973633,0.8317461013793945
96,97,138.1809,computed,0.35015198588371277,0.5647227168083191,0.2923433482646942,0.6743735074996948,0.3320196270942688,0.8332631587982178
97,98,137.5365,computed,0.34825682640075684,0.5610848069190979,0.29150640964508057,0.6695384383201599,0.33438003063201904,0.8313305377960205
98,99,139.6263,computed,0.3463421165943146,0.5550541877746582,0.2926020324230194,0.663379967212677,0.3345712423324585,0.8318615555763245
99,100,141.735,computed,0.34543395042419434,0.5495189428329468,0.29283636808395386,0.6655910015106201,0.3338002562522888,0.8312726616859436
100,101,142.2966,computed,0.3428008556365967,0.547667384147644,0.2926093339920044,0.6612263321876526,0.33469709753990173,0.8318238258361816
101,102,144.0233,computed,0.34068775177001953,0.5462488532066345,0.2936197519302368,0.6583700180053711,0.3343447148799896,0.831944465637207
102,103,145.9299,computed,0.34258800745010376,0.5414398312568665,0.2968197762966156,0.6580806970596313,0.3362341821193695,0.8337515592575073
103,104,149.7327,computed,0.33870387077331543,0.5382078886032104,0.2981848418712616,0.661239504814148,0.3347730338573456,0.8328053951263428
104,105,149.9688,computed,0.33659031987190247,0.5289760231971741,0.29534339904785156,0.6663801670074463,0.3347775936126709,0.8329117298126221
105,106,158.1687,computed,0.32977011799812317,0.522699236869812,0.30128878355026245,0.6677895784378052,0.3329894244670868,0.8351545333862305
106,107,158.9624,computed,0.32961758971214294,0.5153049826622009,0.3023490905761719,0.6648039221763611,0.33443474769592285,0.8346042633056641
107,108,160.2623,computed,0.32752716541290283,0.5041255354881287,0.3021653890609741,0.6553868651390076,0.33396878838539124,0.8317972421646118
108,109,159.8625,computed,0.32461294531822205,0.4980451464653015,0.29956138134002686,0.65657639503479,0.33459633588790894,0.8342036604881287
109,110,162.203,computed,0.32108229398727417,0.4965011775493622,0.3017471134662628,0.6595616936683655,0.3363409638404846,0.8369587659835815
110,111,164.1029,computed,0.31857264041900635,0.49309515953063965,0.30336275696754456,0.6537512540817261,0.3363385796546936,0.8318665623664856
111,112,167.7638,computed,0.3156060576438904,0.49100810289382935,0.3056448698043823,0.6478055715560913,0.3337307274341583,0.8334888219833374
112,113,172.0082,computed,0.3139074444770813,0.48556211590766907,0.3116043508052826,0.6488317251205444,0.33465591073036194,0.831723690032959
113,114,173.7138,computed,0.31344377994537354,0.48728352785110474,0.3143349885940552,0.6500040292739868,0.3353966772556305,0.8320341110229492
114,115,174.5798,computed,0.312740683555603,0.4896145462989807,0.31597191095352173,0.6538323163986206,0.3364467918872833,0.8322250247001648
115,116,174.8369,computed,0.3137453496456146,0.48652583360671997,0.3161618113517761,0.6478718519210815,0.3355553448200226,0.8317376375198364
116,117,174.7424,computed,0.313871830701828,0.4897705316543579,0.3172760009765625,0.6550540328025818,0.33717167377471924,0.8313859105110168
